id,lat,lon,flock
250639354,42.8160987,-1.6476963,0
254176116,41.307319,-73.876398,0
254206850,41.2460041,-73.6855302,0
254249429,41.2644694,-73.5297415,0
254550477,41.151806,-73.779694,0
254598092,41.2021097,-73.8871428,0
254599504,41.1071939,-73.8597985,0
254616972,41.1943106,-73.8801431,0
254769400,41.0812755,-73.8185052,1
254773635,41.078757,-73.865225,0
254793621,40.9788076,-73.8681631,0
254793622,40.9787849,-73.8680251,0
254822904,41.1450531,-73.8173811,0
254876794,41.1696851,-73.8640088,0
255856115,56.9627654,53.1335133,0
256224255,44.8185684,20.4255943,0
256700542,42.1868167,0.907324,0
261326106,41.9004337,-87.6419063,0
261525211,41.3535043,-73.839893,0
261525703,41.3659783,-73.7710489,0
261535050,41.4204975,-73.6790229,0
261553299,41.4120024,-73.5689049,0
261781924,41.3739073,-73.7984314,0
262624327,37.2518027,-122.0089376,0
262624328,37.251692,-122.0093098,0
265062061,47.8993173,21.5485626,0
268538625,34.0540917,-118.2068635,0
268542395,34.0723697,-118.0571529,0
268624070,-34.6602804,-58.3882862,0
278303396,12.1446288,-68.2729708,0
280275913,50.9721409,4.7030501,0
280516541,46.8661318,19.6454421,0
285983035,59.920431,10.677393,0
285983973,59.920412,10.672211,0
287841707,42.8194071,-1.6458734,0
287960358,12.1445123,-68.2728545,0
290025426,45.4047523,11.9873822,0
295861542,59.903246,10.779406,0
297909968,59.9313461,10.7089988,0
297910221,59.933917,10.70978,0
304747721,40.7873766,72.3509473,0
304836826,42.4353257,19.2426905,0
307427600,-34.6403191,-58.5293768,0
310151476,42.414736,19.2046561,0
311138662,52.0108105,4.3580153,0
315858597,59.920729,10.682334,0
316914405,37.2594337,-122.0131897,0
316914406,37.2595031,-122.0134257,0
319090295,59.922146,10.684873,0
323787873,33.6038558,-117.7938756,0
331371354,33.8243711,-117.7163661,0
331374496,33.736323,-117.7707296,0
332502030,39.9386326,-74.9638039,1
338707170,41.4720616,-73.6540322,0
338713499,41.4222319,-73.6783424,0
342036425,32.5991648,-96.94502,1
343604586,37.5355173,-122.0751045,0
346154749,33.588922,-117.6111954,0
346157701,33.5894719,-117.6100885,0
348027116,41.4119252,-73.5776344,0
351665960,33.5896743,-117.7491504,0
351912548,33.5904481,-117.7479241,0
351938027,33.5779423,-117.7158996,0
353744932,33.6541258,-117.6242273,0
353979309,33.694323,-117.6921084,0
353983187,33.6671488,-117.6478406,0
355819780,-34.5810335,-58.5143637,0
355954170,59.9520948,10.772884,0
355976743,33.6320688,-117.598409,0
356521524,32.682478,-116.993186,0
356522344,32.633323,-116.971897,0
356522506,32.647006,-116.971469,0
356522718,32.657286,-116.973364,0
356523027,32.6165148,-116.9709067,0
356523059,32.6574083,-116.9743927,0
356523087,32.6326771,-116.9707741,0
356523112,32.63036,-116.970865,0
356523209,32.659869,-116.977922,0
356523355,32.642613,-116.970323,0
356523369,32.659402,-116.975552,0
356523677,32.6225843,-116.9708101,0
356523689,32.645066,-116.969938,0
356524034,32.619443,-116.970228,0
356524036,32.6422315,-116.9710426,0
356524224,32.6601088,-116.9790965,0
387123689,51.5096035,-0.1935194,0
388279506,40.6555713,16.6130573,0
389838864,50.750309,6.1710037,0
400878978,50.8183256,6.2610056,0
402291931,44.4030438,8.9836775,0
402991869,42.199954,-70.9459445,1
419301969,47.2823097,-122.560719,0
419302043,47.2781011,-122.561259,0
421619239,45.0245696,14.5919849,0
446186073,29.6523273,-81.2765663,1
454398554,42.4346691,19.2284736,0
470278857,45.4678123,12.1080471,0
472314488,30.4171583,-91.065568,1
484132967,36.3070289,-121.883939,1
486799226,42.5493875,-6.5987729,0
506196190,38.3632547,26.8640513,0
506196262,38.3631326,26.8642893,0
524704018,38.0150774,-121.7514844,0
538949794,51.2642705,12.3463891,0
550390297,53.115777,8.8406914,0
559557998,51.0527934,13.7738012,0
559558001,51.0531738,13.7737558,0
564851409,40.5265151,-105.0286391,0
566137850,36.210878,-119.0825696,1
583850576,53.6576044,11.1723523,0
588178384,33.8243659,-117.715981,0
588178387,33.8248929,-117.7171768,0
588179779,33.6321466,-117.5994018,0
588180973,33.654335,-117.6215986,0
588180974,33.6666145,-117.6488188,0
588181248,33.6780152,-117.672624,0
588181249,33.6784884,-117.6717077,0
588181399,33.6939965,-117.6893608,0
588181445,33.7117508,-117.7235251,0
588181446,33.7130652,-117.723437,0
588181575,33.6957861,-117.7373039,0
588192138,33.5786976,-117.7188947,0
588193152,33.5695958,-117.7016879,0
588193153,33.5720344,-117.7031943,0
596163808,43.0994701,-2.3822363,0
598031064,-32.5698644,-65.2043375,0
601465517,44.4154417,12.1993428,0
621095205,-34.5550867,-59.1171173,0
621520376,42.3706094,-71.0626801,0
631841375,50.9646459,5.41374,0
634954138,12.144421,-68.2729477,0
643776207,42.3387912,-89.0653851,1
653333122,48.7494496,9.1697367,0
653333128,48.7663939,9.1821458,0
667257138,51.0979184,-0.2297394,0
670772512,32.616691,-117.0036134,0
672557313,45.4502473,9.1682218,0
721675343,37.5696918,-122.0333587,1
730950935,59.3373152,18.0104714,0
733853073,50.3866428,8.0601875,0
734580700,50.3872575,8.06178,0
745493114,59.9476749,10.7745596,0
746339627,40.5678046,-79.8024047,1
764700190,41.6521441,-4.7256755,0
765917521,42.199154,-70.9458643,1
769107237,52.9967269,12.6042713,0
769458168,33.1728123,-95.0009265,1
792209044,41.2927399,-73.8996457,0
804953706,48.3656268,10.9039649,0
814744486,51.3883282,6.1989851,0
828420509,33.7482966,-117.4558803,1
861411518,56.9625683,53.1334487,0
